comentario_cliente,tipo_feedback,sentiment,sentiment_intensity,target_entidad_1,target_dimension_1,appraisal_tipo_1,appraisal_valor_1,target_entidad_2,target_dimension_2,appraisal_tipo_2,appraisal_valor_2,cohesion_tipo,impacto_operativo,riesgo_alto,riesgo_motivo,comentario_resumen
productos que no consiguen en otros lados,satisfaccion,neutral,baja,producto,general,apreciacion,neutral,,,,,simple,bajo,no,,productos que no consiguen en otros lados
la variedad y precios,satisfaccion,neutral,baja,producto,precio,apreciacion,neutral,,,,,simple,bajo,no,,la variedad y precios
Algunos precio buenos,satisfaccion,positivo,media,precio,precio,afecto,positivo,,,,,simple,medio,no,,Algunos precio buenos
"Excelente atención de la coordinadora de cajas, resolvió un problema de manera sensacional",satisfaccion,positivo,media,caja,atencion,afecto,positivo,,,,,compuesto,medio,no,,"Excelente atención de la coordinadora de cajas, resolvió un problema de manera s"
Estaría bueno que pongan aire acondicionado porque los chocolates están derretidos,satisfaccion,negativo,media,producto,cadena_frio,apreciacion,negativo,,,,,compuesto,medio,no,,Estaría bueno que pongan aire acondicionado porque los chocolates están derretid
No encuentro por lo general lo que busco,insatisfaccion,negativo,media,producto,stock,apreciacion,negativo,,,,,simple,medio,si,posible friccion operativa,No encuentro por lo general lo que busco
"Muy mala atención de la cajera de la caja número 4 de apellido jara, nos trato como basura sumado a que nos cobró mal la mercadería",insatisfaccion,negativo,media,caja,atencion,apreciacion,negativo,,,,,compuesto,medio,no,,"Muy mala atención de la cajera de la caja número 4 de apellido jara, nos trato c"
Aire acondicionado wi fi,satisfaccion,neutral,baja,tienda,general,apreciacion,neutral,,,,,simple,bajo,no,,Aire acondicionado wi fi
Por los precios y tarjeta sencosud,satisfaccion,neutral,baja,precio,precio,apreciacion,neutral,,,,,simple,bajo,no,,Por los precios y tarjeta sencosud
la variedad y lo precios,satisfaccion,neutral,baja,producto,precio,apreciacion,neutral,,,,,simple,bajo,no,,la variedad y lo precios
La variedad de productos,satisfaccion,neutral,baja,producto,general,apreciacion,neutral,,,,,simple,bajo,no,,La variedad de productos
La variedad de mercadería,satisfaccion,neutral,baja,producto,general,apreciacion,neutral,,,,,simple,bajo,no,,La variedad de mercadería
"Aire acondicionado y vendan bebidas frías. Rotisería, panadería, fiambres al mostrador y carnicería",sugerencia,neutral,baja,tienda,general,apreciacion,neutral,,,,,compuesto,bajo,no,,"Aire acondicionado y vendan bebidas frías. Rotisería, panadería, fiambres al mos"
la atencion del personal,satisfaccion,neutral,baja,personal,atencion,apreciacion,neutral,,,,,simple,bajo,no,,la atencion del personal
"La caja rápida demora la fila del consumidor final es un cajero menos que atiende a una persona con unas 15 unidades cuando hago una compra con el chango lleno . No entiendo que le den prioridad a estos clientes, cuando estoy esperando haciendo una compra grande .",insatisfaccion,negativo,media,caja,espera_caja,apreciacion,negativo,,,,,compuesto,medio,si,posible friccion operativa,La caja rápida demora la fila del consumidor final es un cajero menos que atiend
La buena atención de las cajeras,satisfaccion,neutral,baja,caja,atencion,apreciacion,neutral,,,,,simple,bajo,no,,La buena atención de las cajeras
variedad y precios,satisfaccion,neutral,baja,producto,precio,apreciacion,neutral,,,,,simple,bajo,no,,variedad y precios
La atención muy buena,satisfaccion,neutral,baja,personal,atencion,apreciacion,neutral,,,,,simple,bajo,no,,La atención muy buena
La cercanía del lugar.,satisfaccion,neutral,baja,general,general,apreciacion,neutral,,,,,simple,bajo,no,,La cercanía del lugar.
Buenos precios pero traigan gelatina exquisita de frutilla loco delen,satisfaccion,positivo,media,precio,precio,afecto,positivo,,,,,compuesto,medio,no,,Buenos precios pero traigan gelatina exquisita de frutilla loco delen
"La limpieza me parece impecable, faltaría aire acondicionado",satisfaccion,neutral,baja,tienda,limpieza,apreciacion,neutral,,,,,simple,bajo,no,,"La limpieza me parece impecable, faltaría aire acondicionado"
La cercanía del local,satisfaccion,neutral,baja,tienda,general,apreciacion,neutral,,,,,simple,bajo,no,,La cercanía del local
"Los changos, carretas, mucho calor en la tienda pongan aire acondicionado.",insatisfaccion,neutral,baja,tienda,cadena_frio,apreciacion,neutral,,,,,compuesto,bajo,no,,"Los changos, carretas, mucho calor en la tienda pongan aire acondicionado."
Aire acondicionado bajar precio algunas bo,satisfaccion,neutral,baja,precio,precio,apreciacion,neutral,,,,,simple,bajo,no,,Aire acondicionado bajar precio algunas bo
